name,path,split
c4ai-command-r-plus [kor],../1_run/output/c4ai-command-r-plus [f1_p1_q1].json,@
c4ai-command-r-plus [eng],../1_run/output/c4ai-command-r-plus [f1_p1_q2].json,@
c4ai-command-r-v01 [kor],../1_run/output/c4ai-command-r-v01 [f1_p1_q1].json,@
c4ai-command-r-v01 [eng],../1_run/output/c4ai-command-r-v01 [f1_p1_q2].json,@
chat-bison@001 [kor],../1_run/output/chat-bison@001 [f1_p1_q1].json,@
chat-bison@001 [eng],../1_run/output/chat-bison@001 [f1_p1_q2].json,@
chat-bison@002 [kor],../1_run/output/chat-bison@002 [f1_p1_q1].json,@
chat-bison@002 [eng],../1_run/output/chat-bison@002 [f1_p1_q2].json,@
claude-3-5-sonnet@20240620 [kor],../1_run/output/claude-3-5-sonnet@20240620 [f1_p1_q1].json,@
claude-3-5-sonnet@20240620 [eng],../1_run/output/claude-3-5-sonnet@20240620 [f1_p1_q2].json,@
claude-3-opus@20240229 [kor],../1_run/output/claude-3-opus@20240229 [f1_p1_q1].json,@
claude-3-opus@20240229 [eng],../1_run/output/claude-3-opus@20240229 [f1_p1_q2].json,@
claude-3-sonnet@20240229 [kor],../1_run/output/claude-3-sonnet@20240229 [f1_p1_q1].json,@
claude-3-sonnet@20240229 [eng],../1_run/output/claude-3-sonnet@20240229 [f1_p1_q2].json,@
gemini-1.0-pro-001 [kor],../1_run/output/gemini-1.0-pro-001 [f1_p1_q1].json,@
gemini-1.0-pro-001 [eng],../1_run/output/gemini-1.0-pro-001 [f1_p1_q2].json,@
gemini-1.0-pro-002 [kor],../1_run/output/gemini-1.0-pro-002 [f1_p1_q1].json,@
gemini-1.0-pro-002 [eng],../1_run/output/gemini-1.0-pro-002 [f1_p1_q2].json,@
gemini-1.5-pro-001 [kor],../1_run/output/gemini-1.5-pro-001 [f1_p1_q1].json,@
gemini-1.5-pro-001 [eng],../1_run/output/gemini-1.5-pro-001 [f1_p1_q2].json,@
gemma-2-27b-it [kor],../1_run/output/gemma-2-27b-it [f1_p1_q1].json,@
gemma-2-27b-it [eng],../1_run/output/gemma-2-27b-it [f1_p1_q2].json,@
gemma-2-9b-it [kor],../1_run/output/gemma-2-9b-it [f1_p1_q1].json,@
gemma-2-9b-it [eng],../1_run/output/gemma-2-9b-it [f1_p1_q2].json,@
gpt-3.5-turbo-0125 [kor],../1_run/output/gpt-3.5-turbo-0125 [f1_p1_q1].json,@
gpt-3.5-turbo-0125 [eng],../1_run/output/gpt-3.5-turbo-0125 [f1_p1_q2].json,@
gpt-3.5-turbo-0301 [kor],../1_run/output/gpt-3.5-turbo-0301 [f1_p1_q1].json,@
gpt-3.5-turbo-0301 [eng],../1_run/output/gpt-3.5-turbo-0301 [f1_p1_q2].json,@
gpt-3.5-turbo-0613 [kor],../1_run/output/gpt-3.5-turbo-0613 [f1_p1_q1].json,@
gpt-3.5-turbo-0613 [eng],../1_run/output/gpt-3.5-turbo-0613 [f1_p1_q2].json,@
gpt-4-0613 [kor],../1_run/output/gpt-4-0613 [f1_p1_q1].json,@
gpt-4-0613 [eng],../1_run/output/gpt-4-0613 [f1_p1_q2].json,@
gpt-4-1106-preview [kor],../1_run/output/gpt-4-1106-preview [f1_p1_q1].json,@
gpt-4-1106-preview [eng],../1_run/output/gpt-4-1106-preview [f1_p1_q2].json,@
