year,session,subject_id,question_number,common_question,question_text,answer,high_correct,low_correct,high_diff,low_diff,censored,diff_compare
2019,1,1-1,1,False,<자료(비공개)>,4,8,1,Medium,Hard,1,Low>High
2019,1,1-1,2,False,,2,11,9,Easy,Easy,0,Low≈High
2019,1,1-1,3,False,,2,8,6,Medium,Medium,0,Low≈High
2019,1,1-1,4,False,,1,11,10,Easy,Easy,0,Low≈High
2019,1,1-1,5,False,,4,11,10,Easy,Easy,0,Low≈High
2019,1,1-1,6,False,,1,9,6,Easy,Medium,0,Low≈High
2019,1,1-1,7,False,,5,11,11,Easy,Easy,0,Low≈High
2019,1,1-1,8,False,,5,11,7,Easy,Medium,0,Low>High
2019,1,1-1,9,False,,1,11,9,Easy,Easy,0,Low≈High
2019,1,1-1,10,False,,4,4,1,Hard,Hard,0,Low≈High
2019,1,1-1,11,False,,3,11,11,Easy,Easy,0,Low≈High
2019,1,1-1,12,False,,5,11,11,Easy,Easy,0,Low≈High
2019,1,1-1,13,False,,3,11,10,Easy,Easy,0,Low≈High
2019,1,1-1,14,False,,5,11,10,Easy,Easy,0,Low≈High
2019,1,1-1,15,False,,2,11,11,Easy,Easy,0,Low≈High
2019,1,1-1,16,False,,4,11,9,Easy,Easy,0,Low≈High
2019,1,1-1,17,False,,5,11,10,Easy,Easy,0,Low≈High
2019,1,1-1,18,False,,1,11,11,Easy,Easy,0,Low≈High
2019,1,1-1,19,True,<자료(비공개)>,4,9,8,Easy,Medium,1,Low≈High
2019,1,1-1,20,True,<자료(비공개)>,1,5,7,Medium,Medium,1,Low≈High
2019,1,1-2,21,False,,4,11,10,Easy,Easy,0,Low≈High
2019,1,1-2,22,False,,2,11,10,Easy,Easy,0,Low≈High
2019,1,1-2,23,False,,2,11,11,Easy,Easy,0,Low≈High
2019,1,1-2,24,False,,2,10,6,Easy,Medium,0,Low>High
2019,1,1-2,25,False,,2,10,11,Easy,Easy,0,Low≈High
2019,1,1-2,26,False,,4,10,4,Easy,Hard,0,Low>High
2019,1,1-2,27,False,,1,11,11,Easy,Easy,0,Low≈High
2019,1,1-2,28,False,,3,11,11,Easy,Easy,0,Low≈High
2019,1,1-2,29,False,,3,11,11,Easy,Easy,0,Low≈High
2019,1,1-2,30,False,,5,11,10,Easy,Easy,0,Low≈High
2019,1,1-2,31,False,,1,11,11,Easy,Easy,0,Low≈High
2019,1,1-2,32,False,,3,11,11,Easy,Easy,0,Low≈High
2019,1,1-2,33,False,,2,11,11,Easy,Easy,0,Low≈High
2019,1,1-2,34,False,,5,10,10,Easy,Easy,0,Low≈High
2019,1,1-2,35,False,,4,6,3,Medium,Hard,0,Low≈High
2019,1,1-2,36,False,,4,11,10,Easy,Easy,0,Low≈High
2019,1,1-2,37,False,,5,11,11,Easy,Easy,0,Low≈High
2019,1,1-2,38,False,,2,11,8,Easy,Medium,0,Low≈High
2019,1,1-2,39,True,,4,11,11,Easy,Easy,0,Low≈High
2019,1,1-2,40,True,,1,11,11,Easy,Easy,0,Low≈High
2019,1,1-3,41,False,,1,11,11,Easy,Easy,0,Low≈High
2019,1,1-3,42,False,,5,10,7,Easy,Medium,0,Low≈High
2019,1,1-3,43,False,,1,11,10,Easy,Easy,0,Low≈High
2019,1,1-3,44,False,,5,2,2,Hard,Hard,0,Low≈High
2019,1,1-3,45,False,,3,11,8,Easy,Medium,0,Low≈High
2019,1,1-3,46,False,,1,11,11,Easy,Easy,0,Low≈High
2019,1,1-3,47,False,,2,11,11,Easy,Easy,0,Low≈High
2019,1,1-3,48,False,,2,11,11,Easy,Easy,0,Low≈High
2019,1,1-3,49,False,,2,11,11,Easy,Easy,0,Low≈High
2019,1,1-3,50,False,,1,11,11,Easy,Easy,0,Low≈High
2019,1,1-3,51,False,,4,11,10,Easy,Easy,0,Low≈High
2019,1,1-3,52,False,,2,11,5,Easy,Medium,0,Low>High
2019,1,1-3,53,False,,2,11,11,Easy,Easy,0,Low≈High
2019,1,1-3,54,False,,4,11,11,Easy,Easy,0,Low≈High
2019,1,1-3,55,False,,2,11,11,Easy,Easy,0,Low≈High
2019,1,1-3,56,False,,2,11,11,Easy,Easy,0,Low≈High
2019,1,1-3,57,False,,1,11,11,Easy,Easy,0,Low≈High
2019,1,1-3,58,False,,5,11,10,Easy,Easy,0,Low≈High
2019,1,1-3,59,True,,2,10,5,Easy,Medium,0,Low>High
2019,1,1-3,60,True,,3,9,5,Easy,Medium,0,Low>High
2019,1,1-4,61,False,,5,9,1,Easy,Hard,0,Low>High
2019,1,1-4,62,False,,5,5,7,Medium,Medium,0,Low≈High
2019,1,1-4,63,False,,1,11,11,Easy,Easy,0,Low≈High
2019,1,1-4,64,False,,3,11,11,Easy,Easy,0,Low≈High
2019,1,1-4,65,False,,1,11,11,Easy,Easy,0,Low≈High
2019,1,1-4,66,False,,5,8,4,Medium,Hard,0,Low>High
2019,1,1-4,67,False,,1,11,5,Easy,Medium,0,Low>High
2019,1,1-4,68,False,,4,11,10,Easy,Easy,0,Low≈High
2019,1,1-4,69,False,,1,11,11,Easy,Easy,0,Low≈High
2019,1,1-4,70,False,,5,11,11,Easy,Easy,0,Low≈High
2019,1,1-4,71,False,,2,11,9,Easy,Easy,0,Low≈High
2019,1,1-4,72,False,,3,9,5,Easy,Medium,0,Low>High
2019,1,1-4,73,False,,3,11,11,Easy,Easy,0,Low≈High
2019,1,1-4,74,False,,1,11,11,Easy,Easy,0,Low≈High
2019,1,1-4,75,False,,2,10,6,Easy,Medium,0,Low>High
2019,1,1-4,76,False,,5,11,11,Easy,Easy,0,Low≈High
2019,1,1-4,77,False,,4,11,11,Easy,Easy,0,Low≈High
2019,1,1-4,78,False,,1,10,4,Easy,Hard,0,Low>High
2019,1,1-4,79,True,,3,5,0,Medium,Hard,0,Low>High
2019,1,1-4,80,True,,5,1,1,Hard,Hard,0,Low≈High
2019,1,1-5,81,False,,5,11,11,Easy,Easy,0,Low≈High
2019,1,1-5,82,False,,3,11,11,Easy,Easy,0,Low≈High
2019,1,1-5,83,False,,5,11,11,Easy,Easy,0,Low≈High
2019,1,1-5,84,False,,2,11,10,Easy,Easy,0,Low≈High
2019,1,1-5,85,False,,3,11,11,Easy,Easy,0,Low≈High
2019,1,1-5,86,False,,3,5,2,Medium,Hard,0,Low≈High
2019,1,1-5,87,False,,1,11,11,Easy,Easy,0,Low≈High
2019,1,1-5,88,False,,4,11,10,Easy,Easy,0,Low≈High
2019,1,1-5,89,False,,2,11,11,Easy,Easy,0,Low≈High
2019,1,1-5,90,False,,4,10,10,Easy,Easy,0,Low≈High
2019,1,1-5,91,False,,2,11,9,Easy,Easy,0,Low≈High
2019,1,1-5,92,False,,4,11,11,Easy,Easy,0,Low≈High
2019,1,1-5,93,False,,3,11,11,Easy,Easy,0,Low≈High
2019,1,1-5,94,False,,1,11,11,Easy,Easy,0,Low≈High
2019,1,1-5,95,False,,5,10,5,Easy,Medium,0,Low>High
2019,1,1-5,96,False,,5,11,11,Easy,Easy,0,Low≈High
2019,1,1-5,97,False,,5,11,10,Easy,Easy,0,Low≈High
2019,1,1-5,98,False,,4,11,11,Easy,Easy,0,Low≈High
2019,1,1-5,99,True,,2,11,11,Easy,Easy,0,Low≈High
2019,1,1-5,100,True,,4,11,11,Easy,Easy,0,Low≈High
2019,2,2-1,1,False,,5,11,9,Easy,Easy,0,Low≈High
2019,2,2-1,2,False,,2,6,1,Medium,Hard,0,Low>High
2019,2,2-1,3,False,,3,3,5,Hard,Medium,0,Low≈High
2019,2,2-1,4,False,,2,2,0,Hard,Hard,0,Low≈High
2019,2,2-1,5,False,,5,11,9,Easy,Easy,0,Low≈High
2019,2,2-1,6,False,,3,10,10,Easy,Easy,0,Low≈High
2019,2,2-1,7,False,,1,8,6,Medium,Medium,0,Low≈High
2019,2,2-1,8,False,,2,6,2,Medium,Hard,0,Low>High
2019,2,2-1,9,False,,5,1,0,Hard,Hard,0,Low≈High
2019,2,2-1,10,False,,2,5,0,Medium,Hard,0,Low>High
2019,2,2-1,11,False,,1,5,7,Medium,Medium,0,Low≈High
2019,2,2-1,12,False,,2,11,9,Easy,Easy,0,Low≈High
2019,2,2-1,13,False,,4,1,2,Hard,Hard,0,Low≈High
2019,2,2-1,14,False,,2,11,11,Easy,Easy,0,Low≈High
2019,2,2-1,15,False,<자료(비공개)>,2,0,0,Hard,Hard,1,Low≈High
2019,2,2-1,16,False,,5,1,6,Hard,Medium,0,Low<High
2019,2,2-1,17,True,<자료(비공개)>,3,10,6,Easy,Medium,1,Low>High
2019,2,2-1,18,True,<자료(비공개)>,5,1,0,Hard,Hard,1,Low≈High
2019,2,2-2,19,False,,1,6,2,Medium,Hard,0,Low>High
2019,2,2-2,20,False,,5,11,8,Easy,Medium,0,Low≈High
2019,2,2-2,21,False,,5,1,0,Hard,Hard,0,Low≈High
2019,2,2-2,22,False,<자료(비공개)>,1,2,1,Hard,Hard,1,Low≈High
2019,2,2-2,23,False,<자료(비공개)>,2,1,1,Hard,Hard,1,Low≈High
2019,2,2-2,24,False,<자료(비공개)>,3,5,2,Medium,Hard,1,Low≈High
2019,2,2-2,25,False,,5,8,2,Medium,Hard,0,Low>High
2019,2,2-2,26,False,<자료(비공개)>,1,1,4,Hard,Hard,1,Low≈High
2019,2,2-2,27,False,<자료(비공개)>,4,1,1,Hard,Hard,1,Low≈High
2019,2,2-2,28,False,<자료(비공개)>,3,2,0,Hard,Hard,1,Low≈High
2019,2,2-2,29,False,<자료(비공개)>,5,2,0,Hard,Hard,1,Low≈High
2019,2,2-2,30,False,,5,6,2,Medium,Hard,0,Low>High
2019,2,2-2,31,False,,1,9,3,Easy,Hard,0,Low>High
2019,2,2-2,32,False,,2,5,2,Medium,Hard,0,Low≈High
2019,2,2-2,33,False,,1,9,5,Easy,Medium,0,Low>High
2019,2,2-2,34,False,,2,6,1,Medium,Hard,0,Low>High
2019,2,2-2,35,True,<자료(비공개)>,3,5,6,Medium,Medium,1,Low≈High
2019,2,2-2,36,True,<자료(비공개)>,2,1,0,Hard,Hard,1,Low≈High
2019,2,2-3,37,False,,3,2,3,Hard,Hard,0,Low≈High
2019,2,2-3,38,False,,2,3,3,Hard,Hard,0,Low≈High
2019,2,2-3,39,False,,3,3,4,Hard,Hard,0,Low≈High
2019,2,2-3,40,False,,1,10,9,Easy,Easy,0,Low≈High
